approach,metric,bias,mse,emp_se,fpr,mean_rmspe,n_sims
Single-ATC,atc,0.9826,1.0857,0.3471,0.802,0.0,500
Single-ATC,orders,0.3824,0.1974,0.2264,0.386,0.3408,500
Single-Orders,atc,1.0005,1.108,0.3275,0.854,0.4765,500
Single-Orders,orders,0.3906,0.1981,0.2136,0.392,0.0,500
Joint,atc,0.9878,1.0929,0.3424,0.798,0.0,500
Joint,orders,0.3833,0.1961,0.222,0.336,0.0,500
Average,atc,0.9915,1.0786,0.3092,0.872,0.2383,500
Average,orders,0.3865,0.1886,0.1983,0.434,0.1704,500
Joint+Time,atc,0.9879,1.0929,0.3424,0.674,0.0,500
Joint+Time,orders,0.3833,0.1961,0.222,0.246,0.0,500
Single-ATC-Reg,atc,0.9927,1.0614,0.2758,0.942,0.0958,500
Single-ATC-Reg,orders,0.3892,0.1851,0.1837,0.51,0.2826,500
Single-Orders-Reg,atc,0.9928,1.0605,0.2738,0.936,0.4022,500
Single-Orders-Reg,orders,0.3901,0.1844,0.1796,0.542,0.1091,500
Joint-Reg,atc,0.9952,1.0683,0.2791,0.924,0.1015,500
Joint-Reg,orders,0.3884,0.1836,0.1811,0.492,0.1171,500
Joint-Reg+Time,atc,0.9949,1.0707,0.2845,0.862,0.1015,500
Joint-Reg+Time,orders,0.3872,0.1854,0.1885,0.366,0.1171,500
